Region,Country,Year,All Types,Beer,Other,Spirits,Wine
Eastern Mediterranean,Afghanistan,2000,0,0,0,0,0
Eastern Mediterranean,Afghanistan,2001,0,0,0,0,0
Eastern Mediterranean,Afghanistan,2002,0.01,0,0,0,0
Eastern Mediterranean,Afghanistan,2003,0.01,0,0,0.01,0
Eastern Mediterranean,Afghanistan,2004,0.02,0.02,0,0,0
Eastern Mediterranean,Afghanistan,2005,0.02,0.01,0,0.01,0
Eastern Mediterranean,Afghanistan,2006,0.03,0.01,0,0.01,0.01
Eastern Mediterranean,Afghanistan,2007,0.02,0.01,0,0,0.01
Eastern Mediterranean,Afghanistan,2008,0.03,0.01,0,0.02,0
Eastern Mediterranean,Afghanistan,2009,0.01,0.01,0,0,0
Eastern Mediterranean,Afghanistan,2010,0.01,0.01,0,0,0
Eastern Mediterranean,Afghanistan,2011,0.01,0.01,0,0,0
Eastern Mediterranean,Afghanistan,2012,0.01,0.01,0,0,0
Eastern Mediterranean,Afghanistan,2013,0.01,0.01,0,0,0
Europe,Albania,2000,3.66,1.26,0,1.96,0.43
Europe,Albania,2001,4.25,1.42,0,2.02,0.81
Europe,Albania,2002,3.73,1.23,0,2.09,0.41
Europe,Albania,2003,5.58,1.86,0.1,2.26,1.36
Europe,Albania,2004,5.14,1.68,0.09,2.05,1.33
Europe,Albania,2005,0.36,0.17,0,0.01,0.18
Europe,Albania,2006,0.44,0.16,0,0.03,0.25
Europe,Albania,2007,0.66,0.22,0,0.07,0.36
Europe,Albania,2008,12.37,3.38,0,2.94,6.05
Europe,Albania,2009,11.02,3.56,0,2.84,4.62
Europe,Albania,2010,9.98,3.1,0,2.59,4.29
Europe,Albania,2011,3.53,1.72,0.01,0.22,1.58
Europe,Albania,2012,7.01,4.75,0.03,0.36,1.86
Europe,Albania,2013,8.33,5.48,0.07,1.47,1.32
Europe,Albania,2014,7.28,1.97,0.39,3.48,1.43
Africa,Algeria,2000,7.82,2.94,0.27,3.29,1.32
Africa,Algeria,2001,8.56,2.72,0.28,3.7,1.87
Africa,Algeria,2002,7.63,2.04,0.04,0.52,5.03
Africa,Algeria,2003,8.33,3.23,0.39,0.4,4.31
Africa,Algeria,2004,7.93,3.36,0.8,0.56,3.22
Africa,Algeria,2005,3.81,0.22,0,3.16,0.43
Africa,Algeria,2006,3.96,0.32,0,3.36,0.27
Africa,Algeria,2007,3.91,0.51,0.01,3.25,0.13
Africa,Algeria,2008,9.84,4.57,0.94,1.2,3.13
Africa,Algeria,2009,10.62,4.68,0.84,1.32,3.78
Africa,Algeria,2010,9.71,4.01,0.83,1.23,3.64
Africa,Algeria,2011,12.1,6.7,0,1.6,3.8
Africa,Algeria,2012,11.3,6.2,0,1.7,3.4
Africa,Algeria,2013,12.32,6.25,0,1.7,4.37
Europe,Andorra,2000,0.62,0.25,0,0.35,0.02
Europe,Andorra,2001,2.1,0.27,0.16,1.45,0.22
Europe,Andorra,2002,11.64,3.7,0.03,6.08,1.79
Europe,Andorra,2003,11.07,3.78,0.52,4.64,1.51
Europe,Andorra,2004,9.34,3.34,0.38,4.1,1.46
Europe,Andorra,2005,1.95,0.55,0,1.25,0.3
Europe,Andorra,2006,2.1,0.52,0.01,1.34,0.19
Europe,Andorra,2007,1.66,0.34,0.01,1.19,0.11
Europe,Andorra,2008,0,0,0,0,0
Europe,Andorra,2009,0,0,0,0,0
Europe,Andorra,2010,0.01,0,0,0,0
Europe,Andorra,2011,7.59,2.91,0.03,4.09,0.49
Europe,Andorra,2012,8.47,3.14,0.25,3.95,0.92
Europe,Andorra,2013,8.61,3.39,0.21,4.23,0.89
Africa,Angola,2000,12.23,2.73,4.47,4.75,0.37
Africa,Angola,2001,14.22,2.38,4.59,6.06,0.77
Africa,Angola,2002,16.35,2.98,5.71,8.32,0.35
Africa,Angola,2003,11.29,6.09,0,0.95,3.99
Africa,Angola,2004,10.25,5.21,0.01,0.77,4.37
